Male,Partner,Dependents,SeniorCitizen,DurationMonths,PhoneService,MultipleLines,NoInternet,DSLInternet,FiberOpticInternet,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,MonthlyCharges,Contract,Churn
0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,29.85,Month-to-month,0
1,0,0,0,34,1,0,0,1,0,1,0,1,0,0,0,56.95,One year,0
1,0,0,0,2,1,0,0,1,0,1,1,0,0,0,0,53.85,Month-to-month,1
1,0,0,0,45,0,0,0,1,0,1,0,1,1,0,0,42.3,One year,0
0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,70.7,Month-to-month,1
0,0,0,0,8,1,1,0,0,1,0,0,1,0,1,1,99.65,Month-to-month,1
1,0,1,0,22,1,1,0,0,1,0,1,0,0,1,0,89.1,Month-to-month,0
0,0,0,0,10,0,0,0,1,0,1,0,0,0,0,0,29.75,Month-to-month,0
0,1,0,0,28,1,1,0,0,1,0,0,1,1,1,1,104.8,Month-to-month,1
1,0,1,0,62,1,0,0,1,0,1,1,0,0,0,0,56.15,One year,0
1,1,1,0,13,1,0,0,1,0,1,0,0,0,0,0,49.95,Month-to-month,0
1,0,0,0,16,1,0,1,0,0,0,0,0,0,0,0,18.95,Two year,0
1,1,0,0,58,1,1,0,0,1,0,0,1,0,1,1,100.35,One year,0
1,0,0,0,49,1,1,0,0,1,0,1,1,0,1,1,103.7,Month-to-month,1
1,0,0,0,25,1,0,0,0,1,1,0,1,1,1,1,105.5,Month-to-month,0
0,1,1,0,69,1,1,0,0,1,1,1,1,1,1,1,113.25,Two year,0
0,0,0,0,52,1,0,1,0,0,0,0,0,0,0,0,20.65,One year,0
1,0,1,0,71,1,1,0,0,1,1,0,1,0,1,1,106.7,Two year,0
0,1,1,0,10,1,0,0,1,0,0,0,1,1,0,0,55.2,Month-to-month,1
0,0,0,0,21,1,0,0,0,1,0,1,1,0,0,1,90.05,Month-to-month,0
1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,39.65,Month-to-month,1
1,1,0,0,12,1,0,1,0,0,0,0,0,0,0,0,19.8,One year,0
1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,20.15,Month-to-month,1
0,1,0,0,58,1,1,0,1,0,0,1,0,1,0,0,59.9,Two year,0
1,1,1,0,49,1,0,0,1,0,1,1,0,1,0,0,59.6,Month-to-month,0
0,0,0,0,30,1,0,0,1,0,1,1,0,0,0,0,55.3,Month-to-month,0
1,1,1,0,47,1,1,0,0,1,0,1,0,0,1,1,99.35,Month-to-month,1
1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,30.2,Month-to-month,1
1,1,0,0,72,1,1,0,1,0,1,1,1,1,1,1,90.25,Two year,0
0,0,1,0,17,1,0,0,1,0,0,0,0,0,1,1,64.7,Month-to-month,1
0,1,0,1,71,1,1,0,0,1,1,1,1,1,0,0,96.35,Two year,0
1,1,0,1,2,1,0,0,0,1,0,0,1,0,1,1,95.5,Month-to-month,0
0,1,1,0,27,1,0,0,1,0,1,1,1,1,0,0,66.15,One year,0
1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,20.2,Month-to-month,0
